time(s);keff(-);power(W);flux0;flux1;flux2;flux3;flux4;flux5(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;

2000.001;1.06905;6.1367e+08;0.30993;0.30993;0.30993;0.30993;0.30993;0.30993;0;0;0;0;0;0;
2000.0022;1.06905;6.1367e+08;0.30993;0.30993;0.30993;0.30993;0.30993;0.30993;0;0;0;0;0;0;
2000.00364;1.06905;6.1367e+08;0.30993;0.30993;0.30993;0.30993;0.30993;0.30993;0;0;0;0;0;0;
2000.005368;1.06905;6.1367e+08;0.30993;0.30993;0.30993;0.30993;0.30993;0.30993;0;0;0;0;0;0;
2000.007442;1.06905;6.1367e+08;0.30993;0.30993;0.30993;0.30993;0.30993;0.30993;0;0;0;0;0;0;
2000.00993;1.06905;6.1367e+08;0.30993;0.30993;0.30993;0.30993;0.30993;0.30993;0;0;0;0;0;0;
2000.012916;1.06905;6.1367e+08;0.30993;0.30993;0.30993;0.30993;0.30993;0.30993;0;0;0;0;0;0;
2000.016499;1.06905;6.1367e+08;0.30993;0.30993;0.30993;0.30993;0.30993;0.30993;0;0;0;0;0;0;
2000.020799;1.06905;6.1367e+08;0.30993;0.30993;0.30993;0.30993;0.30993;0.30993;0;0;0;0;0;0;
2000.025959;1.06905;6.1367e+08;0.30993;0.30993;0.30993;0.30993;0.30993;0.30993;0;0;0;0;0;0;
2000.03215;1.06905;6.1367e+08;0.30994;0.30994;0.30994;0.30994;0.30994;0.30994;0;0;0;0;0;0;
2000.03958;1.06905;6.1367e+08;0.30994;0.30994;0.30994;0.30994;0.30994;0.30994;0;0;0;0;0;0;
2000.048496;1.06905;6.1367e+08;0.30994;0.30994;0.30994;0.30994;0.30994;0.30994;0;0;0;0;0;0;
2000.059196;1.06905;6.1367e+08;0.30994;0.30994;0.30994;0.30994;0.30994;0.30994;0;0;0;0;0;0;
2000.072035;1.06905;6.1367e+08;0.30994;0.30994;0.30994;0.30994;0.30994;0.30994;0;0;0;0;0;0;
2000.087396;1.06905;6.1368e+08;0.30994;0.30994;0.30994;0.30994;0.30994;0.30994;0;0;0;0;0;0;
2000.105279;1.06905;6.1368e+08;0.30994;0.30994;0.30994;0.30994;0.30994;0.30994;0;0;0;0;0;0;
2000.125684;1.06905;6.1368e+08;0.30994;0.30994;0.30994;0.30994;0.30994;0.30994;0;0;0;0;0;0;
2000.148611;1.06905;6.1368e+08;0.30994;0.30994;0.30994;0.30994;0.30994;0.30994;0;0;0;0;0;0;
2000.173831;1.06905;6.1369e+08;0.30994;0.30994;0.30994;0.30994;0.30994;0.30994;0;0;0;0;0;0;
2000.199051;1.06905;6.1369e+08;0.30995;0.30995;0.30995;0.30995;0.30995;0.30995;0;0;0;0;0;0;
2000.224271;1.06905;6.1369e+08;0.30995;0.30995;0.30995;0.30995;0.30995;0.30995;0;0;0;0;0;0;
2000.249492;1.06905;6.1369e+08;0.30995;0.30995;0.30995;0.30995;0.30995;0.30995;0;0;0;0;0;0;
2000.274712;1.06905;6.137e+08;0.30995;0.30995;0.30995;0.30995;0.30995;0.30995;0;0;0;0;0;0;
2000.299932;1.06905;6.137e+08;0.30995;0.30995;0.30995;0.30995;0.30995;0.30995;0;0;0;0;0;0;
2000.325152;1.06905;6.137e+08;0.30995;0.30995;0.30995;0.30995;0.30995;0.30995;0;0;0;0;0;0;
2000.350372;1.06905;6.137e+08;0.30995;0.30995;0.30995;0.30995;0.30995;0.30995;0;0;0;0;0;0;
