# Region type : patch outletFuelElement
# Faces       : 12
# Area        : 1.905868e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(magU)	areaAverage(p)	areaAverage(T)	areaAverage(alphaRhoPhi)	areaAverage(alphaPhi)
1             	1.500000e+01	3.447280e+06	8.330000e+01	7.834829e-03	7.220594e-04
2             	1.500000e+01	3.447280e+06	8.330000e+01	7.834829e-03	7.220594e-04
3             	1.500000e+01	3.447280e+06	8.330000e+01	7.834829e-03	7.220594e-04
4             	1.500000e+01	3.447280e+06	8.330000e+01	7.834829e-03	7.220594e-04
5             	1.500000e+01	3.447280e+06	8.330000e+01	7.834829e-03	7.220594e-04
6             	1.500000e+01	3.447280e+06	8.330000e+01	7.834829e-03	7.220594e-04
7             	1.500000e+01	3.447280e+06	8.330000e+01	7.834829e-03	7.220594e-04
8             	1.500000e+01	3.447280e+06	8.330000e+01	7.834829e-03	7.220594e-04
9             	1.500000e+01	3.447280e+06	8.330000e+01	7.834829e-03	7.220594e-04
10            	1.500000e+01	3.447280e+06	8.330000e+01	7.834829e-03	7.220594e-04
