# Region      : all fluidRegion
# Cells       : 350
# Volume      : 2.936815e-03
# Time        	volIntegrate(hdeltaT)
11            	4.115287e+05
12            	3.111100e+05
13            	2.577433e+05
14            	2.200967e+05
15            	1.905140e+05
16            	1.660928e+05
17            	1.452714e+05
18            	1.273947e+05
19            	1.118851e+05
20            	9.830493e+04
21            	8.650112e+04
22            	7.619830e+04
23            	6.715436e+04
24            	5.922715e+04
25            	5.225260e+04
26            	4.611599e+04
27            	4.075036e+04
28            	3.600693e+04
29            	3.181894e+04
30            	2.813900e+04
31            	2.488883e+04
32            	2.201871e+04
33            	1.948430e+04
34            	1.725469e+04
35            	1.528242e+04
36            	1.353361e+04
37            	1.198378e+04
38            	1.061057e+04
39            	9.393938e+03
40            	8.316098e+03
41            	7.361268e+03
42            	6.515446e+03
43            	5.766235e+03
44            	5.102677e+03
45            	4.514977e+03
46            	3.994528e+03
47            	3.533689e+03
48            	3.125666e+03
49            	2.764445e+03
50            	2.444688e+03
51            	2.161668e+03
52            	1.911194e+03
53            	1.689549e+03
54            	1.493436e+03
55            	1.319936e+03
56            	1.166461e+03
57            	1.030710e+03
58            	9.106577e+02
59            	8.044991e+02
60            	7.106358e+02
61            	6.276560e+02
62            	5.543045e+02
63            	4.894727e+02
64            	4.321772e+02
65            	3.815484e+02
66            	3.368153e+02
67            	2.972961e+02
68            	2.623869e+02
69            	2.315532e+02
70            	2.043228e+02
71            	1.802766e+02
72            	1.590449e+02
73            	1.403004e+02
74            	1.237530e+02
75            	1.091472e+02
76            	9.625616e+01
77            	8.487984e+01
78            	7.484136e+01
79            	6.598413e+01
80            	5.816995e+01
81            	5.127673e+01
82            	4.519646e+01
83            	3.983374e+01
84            	3.510443e+01
85            	3.093398e+01
86            	2.725677e+01
87            	2.401467e+01
88            	2.115656e+01
89            	1.863712e+01
90            	1.641640e+01
91            	1.445923e+01
92            	1.273434e+01
93            	1.121441e+01
94            	9.875120e+00
95            	8.695169e+00
96            	7.655642e+00
97            	6.739895e+00
98            	5.933252e+00
99            	5.222789e+00
100           	4.597079e+00
