# Region type : patch inletCentralUnloaded
# Faces       : 2
# Area        : 3.176444e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(magU)	areaAverage(p)	areaAverage(T)	areaAverage(alphaRhoPhi)	areaAverage(alphaPhi)
11            	1.500000e+01	3.454199e+06	8.330000e+01	-5.873210e-03	-5.401345e-04
12            	1.500000e+01	3.454149e+06	8.330000e+01	-5.873105e-03	-5.401345e-04
13            	1.500000e+01	3.454100e+06	8.330000e+01	-5.873035e-03	-5.401345e-04
14            	1.500000e+01	3.454057e+06	8.330000e+01	-5.872976e-03	-5.401345e-04
15            	1.500000e+01	3.454030e+06	8.330000e+01	-5.872919e-03	-5.401345e-04
16            	1.500000e+01	3.453998e+06	8.330000e+01	-5.872869e-03	-5.401345e-04
17            	1.500000e+01	3.453983e+06	8.330000e+01	-5.872817e-03	-5.401345e-04
18            	1.500000e+01	3.453952e+06	8.330000e+01	-5.872771e-03	-5.401345e-04
19            	1.500000e+01	3.453919e+06	8.330000e+01	-5.872727e-03	-5.401345e-04
20            	1.500000e+01	3.453917e+06	8.330000e+01	-5.872679e-03	-5.401345e-04
21            	1.500000e+01	3.453896e+06	8.330000e+01	-5.872638e-03	-5.401345e-04
22            	1.500000e+01	3.453862e+06	8.330000e+01	-5.872602e-03	-5.401345e-04
23            	1.500000e+01	3.453845e+06	8.330000e+01	-5.872566e-03	-5.401345e-04
24            	1.500000e+01	3.453823e+06	8.330000e+01	-5.872533e-03	-5.401345e-04
25            	1.500000e+01	3.453809e+06	8.330000e+01	-5.872500e-03	-5.401345e-04
26            	1.500000e+01	3.453800e+06	8.330000e+01	-5.872467e-03	-5.401345e-04
27            	1.500000e+01	3.453779e+06	8.330000e+01	-5.872445e-03	-5.401345e-04
28            	1.500000e+01	3.453762e+06	8.330000e+01	-5.872420e-03	-5.401345e-04
29            	1.500000e+01	3.453758e+06	8.330000e+01	-5.872393e-03	-5.401345e-04
30            	1.500000e+01	3.453748e+06	8.330000e+01	-5.872374e-03	-5.401345e-04
31            	1.500000e+01	3.453735e+06	8.330000e+01	-5.872354e-03	-5.401345e-04
32            	1.500000e+01	3.453730e+06	8.330000e+01	-5.872337e-03	-5.401345e-04
33            	1.500000e+01	3.453725e+06	8.330000e+01	-5.872321e-03	-5.401345e-04
34            	1.500000e+01	3.453736e+06	8.330000e+01	-5.872317e-03	-5.401345e-04
