# Region type : patch inletFuelElement
# Faces       : 12
# Area        : 1.905868e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(magU)	areaAverage(p)	areaAverage(T)	areaAverage(alphaRhoPhi)	areaAverage(alphaPhi)
11            	1.500000e+01	3.554129e+06	8.330000e+01	-8.089593e-03	-7.220594e-04
12            	1.500000e+01	3.533824e+06	8.330000e+01	-8.041139e-03	-7.220594e-04
13            	1.500000e+01	3.522909e+06	8.330000e+01	-8.015206e-03	-7.220594e-04
14            	1.500000e+01	3.515188e+06	8.330000e+01	-7.996895e-03	-7.220594e-04
15            	1.500000e+01	3.509124e+06	8.330000e+01	-7.982416e-03	-7.220594e-04
16            	1.500000e+01	3.504120e+06	8.330000e+01	-7.970521e-03	-7.220594e-04
17            	1.500000e+01	3.499859e+06	8.330000e+01	-7.960272e-03	-7.220594e-04
18            	1.500000e+01	3.496185e+06	8.330000e+01	-7.951569e-03	-7.220594e-04
19            	1.500000e+01	3.492988e+06	8.330000e+01	-7.944030e-03	-7.220594e-04
20            	1.500000e+01	3.490236e+06	8.330000e+01	-7.937284e-03	-7.220594e-04
21            	1.500000e+01	3.487821e+06	8.330000e+01	-7.931525e-03	-7.220594e-04
22            	1.500000e+01	3.485689e+06	8.330000e+01	-7.926560e-03	-7.220594e-04
23            	1.500000e+01	3.483853e+06	8.330000e+01	-7.922165e-03	-7.220594e-04
24            	1.500000e+01	3.482227e+06	8.330000e+01	-7.918333e-03	-7.220594e-04
25            	1.500000e+01	3.480806e+06	8.330000e+01	-7.914914e-03	-7.220594e-04
26            	1.500000e+01	3.479565e+06	8.330000e+01	-7.911874e-03	-7.220594e-04
27            	1.500000e+01	3.478474e+06	8.330000e+01	-7.909358e-03	-7.220594e-04
28            	1.500000e+01	3.477495e+06	8.330000e+01	-7.907058e-03	-7.220594e-04
29            	1.500000e+01	3.476660e+06	8.330000e+01	-7.904978e-03	-7.220594e-04
30            	1.500000e+01	3.475930e+06	8.330000e+01	-7.903225e-03	-7.220594e-04
31            	1.500000e+01	3.475263e+06	8.330000e+01	-7.901664e-03	-7.220594e-04
32            	1.500000e+01	3.474704e+06	8.330000e+01	-7.900285e-03	-7.220594e-04
33            	1.500000e+01	3.474216e+06	8.330000e+01	-7.899080e-03	-7.220594e-04
34            	1.500000e+01	3.473894e+06	8.330000e+01	-7.898185e-03	-7.220594e-04
35            	1.500000e+01	3.473595e+06	8.330000e+01	-7.897471e-03	-7.220594e-04
36            	1.500000e+01	3.473331e+06	8.330000e+01	-7.896842e-03	-7.220594e-04
37            	1.500000e+01	3.473098e+06	8.330000e+01	-7.896287e-03	-7.220594e-04
38            	1.500000e+01	3.472893e+06	8.330000e+01	-7.895799e-03	-7.220594e-04
39            	1.500000e+01	3.472713e+06	8.330000e+01	-7.895370e-03	-7.220594e-04
40            	1.500000e+01	3.472554e+06	8.330000e+01	-7.894992e-03	-7.220594e-04
41            	1.500000e+01	3.472414e+06	8.330000e+01	-7.894660e-03	-7.220594e-04
42            	1.500000e+01	3.472292e+06	8.330000e+01	-7.894367e-03	-7.220594e-04
43            	1.500000e+01	3.472183e+06	8.330000e+01	-7.894109e-03	-7.220594e-04
44            	1.500000e+01	3.472088e+06	8.330000e+01	-7.893882e-03	-7.220594e-04
45            	1.500000e+01	3.472004e+06	8.330000e+01	-7.893683e-03	-7.220594e-04
46            	1.500000e+01	3.471930e+06	8.330000e+01	-7.893506e-03	-7.220594e-04
47            	1.500000e+01	3.471866e+06	8.330000e+01	-7.893352e-03	-7.220594e-04
48            	1.500000e+01	3.471808e+06	8.330000e+01	-7.893215e-03	-7.220594e-04
49            	1.500000e+01	3.471758e+06	8.330000e+01	-7.893096e-03	-7.220594e-04
50            	1.500000e+01	3.471714e+06	8.330000e+01	-7.892990e-03	-7.220594e-04
51            	1.500000e+01	3.471675e+06	8.330000e+01	-7.892897e-03	-7.220594e-04
52            	1.500000e+01	3.471640e+06	8.330000e+01	-7.892816e-03	-7.220594e-04
53            	1.500000e+01	3.471610e+06	8.330000e+01	-7.892744e-03	-7.220594e-04
54            	1.500000e+01	3.471584e+06	8.330000e+01	-7.892681e-03	-7.220594e-04
55            	1.500000e+01	3.471560e+06	8.330000e+01	-7.892625e-03	-7.220594e-04
56            	1.500000e+01	3.471540e+06	8.330000e+01	-7.892576e-03	-7.220594e-04
57            	1.500000e+01	3.471522e+06	8.330000e+01	-7.892533e-03	-7.220594e-04
58            	1.500000e+01	3.471506e+06	8.330000e+01	-7.892495e-03	-7.220594e-04
59            	1.500000e+01	3.471492e+06	8.330000e+01	-7.892462e-03	-7.220594e-04
60            	1.500000e+01	3.471479e+06	8.330000e+01	-7.892432e-03	-7.220594e-04
61            	1.500000e+01	3.471469e+06	8.330000e+01	-7.892407e-03	-7.220594e-04
62            	1.500000e+01	3.471459e+06	8.330000e+01	-7.892384e-03	-7.220594e-04
