# Region type : patch outletCentralUnloaded
# Faces       : 2
# Area        : 3.176444e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(magU)	areaAverage(p)	areaAverage(T)	areaAverage(alphaRhoPhi)	areaAverage(alphaPhi)
1             	1.500000e+01	3.447280e+06	8.330000e+01	5.860822e-03	5.401345e-04
2             	1.500000e+01	3.447280e+06	8.330000e+01	5.860822e-03	5.401345e-04
3             	1.500000e+01	3.447280e+06	8.330000e+01	5.860822e-03	5.401345e-04
4             	1.500000e+01	3.447280e+06	8.330000e+01	5.860822e-03	5.401345e-04
5             	1.500000e+01	3.447280e+06	8.330000e+01	5.860822e-03	5.401345e-04
6             	1.500000e+01	3.447280e+06	8.330000e+01	5.860822e-03	5.401345e-04
7             	1.500000e+01	3.447280e+06	8.330000e+01	5.860822e-03	5.401345e-04
8             	1.500000e+01	3.447280e+06	8.330000e+01	5.860822e-03	5.401345e-04
9             	1.500000e+01	3.447280e+06	8.330000e+01	5.860822e-03	5.401345e-04
10            	1.500000e+01	3.447280e+06	8.330000e+01	5.860822e-03	5.401345e-04
