# Region type : patch outletFuelElement
# Faces       : 12
# Area        : 1.905868e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(magU)	areaAverage(p)	areaAverage(T)	areaAverage(alphaRhoPhi)	areaAverage(alphaPhi)
11            	6.341852e+01	3.447280e+06	3.443053e+02	7.394062e-03	3.078406e-03
12            	5.122760e+01	3.447280e+06	2.854508e+02	7.202529e-03	2.485310e-03
13            	4.470978e+01	3.447280e+06	2.534875e+02	7.082541e-03	2.168774e-03
14            	4.007456e+01	3.447280e+06	2.305365e+02	6.986412e-03	1.943800e-03
15            	3.640149e+01	3.447280e+06	2.122630e+02	6.899455e-03	1.765332e-03
16            	3.334743e+01	3.447280e+06	1.968996e+02	6.823089e-03	1.617061e-03
17            	3.071957e+01	3.447280e+06	1.836662e+02	6.747993e-03	1.489181e-03
18            	2.844588e+01	3.447280e+06	1.720830e+02	6.682242e-03	1.378867e-03
19            	2.645616e+01	3.447280e+06	1.618913e+02	6.621368e-03	1.282419e-03
20            	2.470152e+01	3.447280e+06	1.529210e+02	6.557776e-03	1.196645e-03
21            	2.316465e+01	3.447280e+06	1.449765e+02	6.503647e-03	1.121944e-03
22            	2.181152e+01	3.447280e+06	1.379395e+02	6.456406e-03	1.056515e-03
23            	2.061883e+01	3.447280e+06	1.317145e+02	6.410793e-03	9.984861e-04
24            	1.956441e+01	3.447280e+06	1.261994e+02	6.369731e-03	9.473539e-04
25            	1.863006e+01	3.447280e+06	1.213207e+02	6.329381e-03	9.018281e-04
26            	1.780306e+01	3.447280e+06	1.170015e+02	6.290600e-03	8.613485e-04
27            	1.707953e+01	3.447280e+06	1.131604e+02	6.262668e-03	8.264225e-04
28            	1.643114e+01	3.447280e+06	1.097633e+02	6.232999e-03	7.949974e-04
29            	1.585867e+01	3.447280e+06	1.067576e+02	6.203108e-03	7.668442e-04
30            	1.535616e+01	3.447280e+06	1.040874e+02	6.180029e-03	7.423501e-04
31            	1.490613e+01	3.447280e+06	1.017215e+02	6.158222e-03	7.205385e-04
32            	1.451190e+01	3.447280e+06	9.962435e+01	6.138374e-03	7.011882e-04
33            	1.416366e+01	3.447280e+06	9.776463e+01	6.121016e-03	6.840881e-04
34            	1.388063e+01	3.447280e+06	9.610489e+01	6.114489e-03	6.698301e-04
35            	1.362931e+01	3.447280e+06	9.462824e+01	6.112824e-03	6.575727e-04
36            	1.340619e+01	3.447280e+06	9.332040e+01	6.111357e-03	6.466880e-04
