# Region      : all neutroRegion
# Cells       : 350
# Volume      : 2.936810e-03
# Time        	volIntegrate(powerDensity)
11            	3.748001e+06
12            	3.748001e+06
13            	3.748001e+06
14            	3.748001e+06
15            	3.748001e+06
16            	3.748001e+06
17            	3.748001e+06
18            	3.748001e+06
19            	3.748001e+06
20            	3.748001e+06
21            	3.748001e+06
22            	3.748001e+06
23            	3.748001e+06
24            	3.748001e+06
25            	3.748001e+06
26            	3.748001e+06
27            	3.748001e+06
28            	3.748001e+06
29            	3.748001e+06
30            	3.748001e+06
31            	3.748001e+06
32            	3.748001e+06
33            	3.748001e+06
34            	3.748001e+06
35            	3.748001e+06
36            	3.748001e+06
37            	3.748001e+06
38            	3.748001e+06
39            	3.748001e+06
40            	3.748001e+06
41            	3.748001e+06
42            	3.748001e+06
43            	3.748001e+06
44            	3.748001e+06
45            	3.748001e+06
46            	3.748001e+06
47            	3.748001e+06
48            	3.748001e+06
49            	3.748001e+06
50            	3.748001e+06
51            	3.748001e+06
52            	3.748001e+06
53            	3.748001e+06
54            	3.748001e+06
55            	3.748001e+06
56            	3.748001e+06
57            	3.748001e+06
58            	3.748001e+06
59            	3.748001e+06
60            	3.748001e+06
61            	3.748001e+06
62            	3.748001e+06
63            	3.748001e+06
64            	3.748001e+06
65            	3.748001e+06
66            	3.748001e+06
67            	3.748001e+06
68            	3.748001e+06
69            	3.748001e+06
70            	3.748001e+06
71            	3.748001e+06
72            	3.748001e+06
73            	3.748001e+06
74            	3.748001e+06
75            	3.748001e+06
76            	3.748001e+06
77            	3.748001e+06
78            	3.748001e+06
79            	3.748001e+06
80            	3.748001e+06
81            	3.748001e+06
82            	3.748001e+06
83            	3.748001e+06
84            	3.748001e+06
85            	3.748001e+06
86            	3.748001e+06
87            	3.748001e+06
88            	3.748001e+06
89            	3.748001e+06
90            	3.748001e+06
91            	3.748001e+06
92            	3.748001e+06
93            	3.748001e+06
94            	3.748001e+06
95            	3.748001e+06
96            	3.748001e+06
97            	3.748001e+06
98            	3.748001e+06
99            	3.748001e+06
100           	3.748001e+06
